sa,naics_sector,series,geo,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
U,TOTAL,BA_BA,US,2025,497030,440230,497911,583054,425867,428742,513785,428937,,,,
U,NAICS11,BA_BA,US,2025,5141,4258,4398,4679,3128,3041,3539,3019,,,,
U,NAICS21,BA_BA,US,2025,547,472,511,575,407,416,497,420,,,,
U,NAICS22,BA_BA,US,2025,689,663,697,789,594,595,684,663,,,,
U,NAICS23,BA_BA,US,2025,49525,44621,47136,56485,40657,39051,45141,38607,,,,
U,NAICSMNF,BA_BA,US,2025,7662,6891,7030,8518,6176,5842,6935,6103,,,,
U,NAICS42,BA_BA,US,2025,9972,8871,9578,11910,9904,9372,10099,8367,,,,
U,NAICSRET,BA_BA,US,2025,80910,69227,99761,115529,79794,85456,109320,88273,,,,
U,NAICSTW,BA_BA,US,2025,34841,31226,33486,39267,28183,27676,33776,28803,,,,
U,NAICS51,BA_BA,US,2025,9686,9003,11576,12269,8482,8510,10217,8810,,,,
U,NAICS52,BA_BA,US,2025,21042,19074,19828,22658,17047,17624,21222,17631,,,,
U,NAICS53,BA_BA,US,2025,24234,21047,22270,26388,20168,20101,23739,20390,,,,
U,NAICS54,BA_BA,US,2025,72112,60575,66799,76690,58895,58362,66479,56746,,,,
U,NAICS55,BA_BA,US,2025,5270,4721,5387,6139,4682,4928,6052,5101,,,,
U,NAICS56,BA_BA,US,2025,34211,32377,35327,41937,30784,29647,34959,28690,,,,
U,NAICS61,BA_BA,US,2025,7852,6726,6916,8666,6368,6663,7898,6591,,,,
U,NAICS62,BA_BA,US,2025,33312,29112,29343,35355,26442,26772,32550,27201,,,,
U,NAICS71,BA_BA,US,2025,16025,14091,14499,17652,12458,12895,15699,13066,,,,
U,NAICS72,BA_BA,US,2025,26397,24352,26447,32586,24532,24246,27785,23184,,,,
U,NAICS81,BA_BA,US,2025,44545,40394,41478,48755,35548,34672,42013,35181,,,,
U,NONAICS,BA_BA,US,2025,13057,12529,15444,16207,11618,12873,15181,12091,,,,
A,TOTAL,BA_BA,US,2025,393232,426241,453869,451009,449117,459675,471169,473679,,,,
A,NAICS11,BA_BA,US,2025,3415,3588,3619,3589,3560,3672,3639,3805,,,,
A,NAICS21,BA_BA,US,2025,430,485,466,464,443,459,499,467,,,,
A,NAICS22,BA_BA,US,2025,598,721,756,684,643,648,609,735,,,,
A,NAICS23,BA_BA,US,2025,39457,41688,41965,42771,41730,42013,42988,43350,,,,
A,NAICSMNF,BA_BA,US,2025,6035,6247,6335,6481,6336,6568,6917,7042,,,,
A,NAICS42,BA_BA,US,2025,7875,8695,9093,9386,10144,9726,9469,9506,,,,
A,NAICSRET,BA_BA,US,2025,64788,71465,88321,84782,84832,91068,93468,96208,,,,
